#                     z                      raw                 natural                    under                     over
-9.9975585937500000e-01  8.3428686659282562e+01  4.7811322136086403e+01  6.2655789719541408e+00  1.2756543807260815e+01
-9.9926757812500000e-01  1.6629710252285815e+01  5.0060831253861330e+01  2.2101687425193081e+01  1.2674145140113437e+01
-9.9877929687500000e-01  -5.5377059240432978e+00  5.0375162369920012e+01  8.0678353498397414e+01  1.2592270644670888e+01
-9.9829101562500000e-01  -6.8899138190080947e+01  5.0396399452134062e+01  3.0403506814485194e+01  1.2510917091638166e+01
-9.9780273437500000e-01  6.7292622916933897e+00  5.0783053537697121e+01  1.5104980261183279e+01  1.2430081270873822e+01
-9.9731445312500000e-01  3.9580746526917814e+01  5.1593459878143058e+01  3.6049961629166098e+01  1.2349759991280941e+01
-9.9682617187500000e-01  -1.0705793908315062e+01  5.2585839348798892e+01  1.5534442205260031e+01  1.2269950080698782e+01
-9.9633789062500000e-01  2.7469207169730279e+01  5.3428886699528341e+01  2.9918923526547047e+01  1.2190648385794985e+01
-9.9584960937500000e-01  -3.0960845049290985e+01  5.3830302725535873e+01  7.3668678016922783e+01  1.2111851771958325e+01
-9.9536132812500000e-01  2.6195083616940462e+02  5.3599824479195817e+01  1.5958604965451642e+02  1.2033557123192107e+01
-9.9487304687500000e-01  4.2685050917673365e+01  5.2666021331408480e+01  1.9226330594391765e+01  1.1955761342008101e+01
-9.9438476562500000e-01  -2.1971653804137741e+01  5.1064482960451137e+01  1.2736361353405032e+01  1.1878461349321093e+01
-9.9389648437500000e-01  2.5308463715246750e+00  4.8911384769876612e+01  8.8415970064371663e+01  1.1801654084343951e+01
-9.9340820312500000e-01  3.5586462908468997e+02  4.6372377804642760e+01  1.8788672924043465e+02  1.1725336504483311e+01
-9.9291992187500000e-01  -4.5193743546329223e+01  4.3633147040854531e+01  5.4480851225680532e+01  1.1649505585235802e+01
-9.9243164062500000e-01  2.1488173193190161e+01  4.0875130403164135e+01  1.2028877615244063e+01  1.1574158320084857e+01
-9.9194335937500000e-01  2.2596652658573948e+01  3.8257825585128565e+01  5.2924923255020726e+00  1.1499291720398078e+01
-9.9145507812500000e-01  -1.6945691143357028e+01  3.5907739290100579e+01  6.0348605928069965e+00  1.1424902815325151e+01
-9.9096679687500000e-01  2.0749920805045548e+01  3.3913216584952572e+01  4.9251541017390270e+00  1.1350988651696312e+01
-9.9047851562500000e-01  -1.9398414539208237e+00  3.2323986056502967e+01  5.9388266453867136e+00  1.1277546293921425e+01
-9.8999023437500000e-01  1.0612495920943378e+01  3.1154143140179404e+01  8.5733673618581996e+00  1.1204572823889492e+01
-9.8950195312500000e-01  1.0195940806023872e+01  3.0387364376698429e+01  3.7988818437254426e+00  1.1132065340868840e+01
-9.8901367187500000e-01  -1.4302942211295907e+01  2.9983317581588292e+01  3.3364232759209824e+00  1.1060020961407773e+01
-9.8852539062500000e-01  2.8355809122186560e+01  2.9884447400104047e+01  2.7122103102057096e+01  1.0988436819235771e+01
-9.8803710937500000e-01  7.0300060291200722e+01  3.0022532662104489e+01  4.7312549877051076e+01  1.0917310065165292e+01
-9.8754882812500000e-01  2.1446179958298615e+01  3.0324607796461834e+01  2.6450884117415811e+01  1.0846637866993996e+01
-9.8706054687500000e-01  -2.7658278184421952e+00  3.0718004050033805e+01  7.2245595224393124e+00  1.0776417409407648e+01
-9.8657226562500000e-01  7.5636541463681075e+00  3.1134394547986052e+01  6.0427934707996487e+00  1.0706645893883397e+01
-9.8608398437500000e-01  4.9922300299531646e+00  3.1512822582190804e+01  1.8972500179068586e+01  1.0637320538593688e+01
-9.8559570312500000e-01  5.5372144189744425e+01  3.1801759671182545e+01  4.2234473067274081e+01  1.0568438578310717e+01
-9.8510742187500000e-01  4.9560679316859769e+01  3.1960284363952674e+01  6.1573842911459600e+01  1.0499997264311270e+01
-9.8461914062500000e-01  1.1339919432068497e+02  3.1958499590363342e+01  5.6418368674438597e+01  1.0431993864282271e+01
-9.8413085937500000e-01  -5.2763866332000745e+01  3.1777319902683885e+01  4.0753937212524725e+01  1.0364425662226655e+01
-9.8364257812500000e-01  1.1164796796891612e+02  3.1407763593770166e+01  9.1242914541156040e+01  1.0297289958369946e+01
-9.8315429687500000e-01  2.1639118278817324e+02  3.0849880997376140e+01  1.1187993035672685e+02  1.0230584069067163e+01
-9.8266601562500000e-01  -2.8946370993575798e+01  3.0111441243678730e+01  4.8258732266526074e+01  1.0164305326710393e+01
-9.8217773437500000e-01  9.0022235635051899e+00  2.9206486912161630e+01  1.5214428454334996e+01  1.0098451079636771e+01
-9.8168945312500000e-01  3.9003405116446082e+01  2.8153850684372468e+01  1.5556425199475658e+01  1.0033018692036979e+01
-9.8120117187500000e-01  -1.5911478996940845e+01  2.6975711368528767e+01  1.4855291479607075e+01  9.9680055438643063e+00
-9.8071289062500000e-01  2.9023372795452183e+01  2.5696249531775909e+01  3.2322984062623163e+01  9.9034090307441112e+00
-9.8022460937500000e-01  8.4761770306093240e+01  2.4340446290071863e+01  4.8512486903671437e+01  9.8392265638838960e+00
-9.7973632812500000e-01  3.7464115762364493e+01  2.2933053281420072e+01  3.4598579667941017e+01  9.7754555699837340e+00
-9.7924804687500000e-01  -1.4511709715026299e+01  2.1497748033328495e+01  1.4495537041675812e+01  9.7120934911473302e+00
-9.7875976562500000e-01  2.1359718834778011e+01  2.0056477202608843e+01  1.1654260162721473e+01  9.6491377847934707e+00
-9.7827148437500000e-01  1.7038486181042270e+01  1.8628980712850648e+01  1.2181885534963891e+01  9.5865859235680038e+00
-9.7778320312500000e-01  2.6255442152655770e+00  1.7232482678551783e+01  8.2299906564959802e+00  9.5244353952562939e+00
-9.7729492187500000e-01  9.1129717230044598e+00  1.5881530083969619e+01  4.3284135782611219e+00  9.4626837026961557e+00
-9.7680664062500000e-01  -5.2309532858593446e+00  1.4587957271896865e+01  1.9439501238034149e+00  9.4013283636912632e+00
-9.7631835937500000e-01  4.6964431954913541e+00  1.3360953112828456e+01  2.0321884393128360e+00  9.3403669109250469e+00
-9.7583007812500000e-01  3.7192365236354088e+00  1.2207207948808726e+01  3.0293889218665937e+00  9.2797968918750353e+00
-9.7534179687500000e-01  -1.5306277248349340e+00  1.1131118708582269e+01  4.6788915942900244e+00  9.2196158687277254e+00
-9.7485351562500000e-01  1.6708493601814254e+01  1.0135032654555308e+01  5.9259274020452466e+00  9.1598214182938378e+00
-9.7436523437500000e-01  1.3624371999403135e+00  9.2195127608915239e+00  4.0602380981857529e+00  9.1004111319241296e+00
-9.7387695312500000e-01  -5.3073738063762006e+00  8.3836104904987732e+00  2.5019893634732440e+00  9.0413826154256025e+00
-9.7338867187500000e-01  1.2653000829629937e+01  7.6251345380490028e+00  2.7463739768420248e+00  8.9827334889781874e+00
-9.7290039062500000e-01  -2.5417227802551619e+00  6.9409067852386865e+00  2.2274954459641476e+00  8.9244613870519203e+00
-9.7241210937500000e-01  -2.8723693467221452e+00  6.3269991666247885e+00  2.6245878734880832e+00  8.8665639583245284e+00
-9.7192382812500000e-01  1.4866018081947455e+01  5.7789473025585538e+00  3.4487223016966055e+00  8.8090388655995149e+00
-9.7143554687500000e-01  -2.1885280262982407e+00  5.2919385862323471e+00  2.1104450466501290e+00  8.7518837857246456e+00
-9.7094726562500000e-01  -5.5537360413381496e+00  4.8609739073276117e+00  1.3281517223609214e+00  8.6950964095109562e+00
-9.7045898437500000e-01  1.0750481513992804e+01  4.4810033676181167e+00  2.1732499058314958e+00  8.6386744416520997e+00
-9.6997070312500000e-01  -7.1392773803677409e-02  4.1470372202182535e+00  2.1832326453455417e+00  8.5826156006442442e+00
-9.6948242187500000e-01  -2.4463619001976067e+00  3.8542338784633405e+00  1.8532000667411352e+00  8.5269176187063938e+00
-9.6899414062500000e-01  9.2552617899133285e+00  3.5979672313010300e+00  1.5431923065840181e+00  8.4715782417010530e+00
-9.6850585937500000e-01  -2.6220049849288851e+00  3.3738757090211471e+00  4.0174157523813692e-01  8.4165952290554866e+00
-9.6801757812500000e-01  -6.1098342142931052e+00  3.1778956040652138e+00  8.3336224950948237e-02  8.3619663536832505e+00
-9.6752929687500000e-01  7.5738213086336668e+00  3.0062811012647219e+00  1.3000522516848869e+00  8.3076894019062912e+00
-9.6704101562500000e-01  7.0439040540461517e-01  2.8556133407894349e+00  2.8163805270599207e+00  8.2537621733774191e+00
-9.6655273437500000e-01  -1.3357632553607930e+00  2.7228006514381842e+00  4.9261421237389778e+00  8.2001824810031803e+00
-9.6606445312500000e-01  1.6673134200502343e+01  2.6050718732089546e+00  6.6758197552274838e+00  8.1469481508671819e+00
-9.6557617187500000e-01  1.0072521296090263e+01  2.4999644535491967e+00  5.5859235961200007e+00  8.0940570221539261e+00
-9.6508789062500000e-01  -7.5853720746170596e+00  2.4053087645944871e+00  3.1520256124229018e+00  8.0415069470728717e+00
-9.6459960937500000e-01  3.5561680041288799e+00  2.3192098589122736e+00  2.2116241984802887e+00  7.9892957907831210e+00
-9.6411132812500000e-01  9.7655611666012625e+00  2.2400276657330371e+00  1.7007749268441308e+00  7.9374214313183789e+00
-9.6362304687500000e-01  -6.4354759641537447e+00  2.1663564329350629e+00  6.7664445244667282e-01  7.8858817595124133e+00
-9.6313476562500000e-01  -3.7857050435009714e+00  2.0970040448016078e+00  7.0176878356265204e-01  7.8346746789248911e+00
-9.6264648437500000e-01  1.0423468359520477e+01  2.0309716929325585e+00  1.3986010004394225e+00  7.7837981057676116e+00
-9.6215820312500000e-01  7.0208235484827453e-01  1.9674342476754114e+00  1.1257314677968824e+00  7.7332499688311858e+00
-9.6166992187500000e-01  -7.5918839948128012e+00  1.9057215692012450e+00  7.9349393672128898e-01  7.6830282094121136e+00
-9.6118164062500000e-01  6.1410357690902941e+00  1.8453009094563564e+00  1.2593348557223147e+00  7.6331307812402400e+00
-9.6069335937500000e-01  7.3676059188275058e+00  1.7857604868306420e+00  1.2174063412719196e+00  7.5835556504066277e+00
-9.6020507812500000e-01  -7.4626013478948190e+00  1.7267942624196817e+00  8.2051195268719401e-01  7.5343007952918448e+00
