# l  H_ME_l   H_ME_(l+1)   H_finalState_l   H_finalState_(l+1)
  -1 nan 1. nan 1.
   1  0.0000000000000000e+00  9.5482161240146834e-01  1.4137153775227364e-05  9.1266746995907977e-01
   3  2.2678741181371420e-03  8.7011388108042598e-01  1.6277257271101820e-03  8.1621483627602953e-01
   5  1.4598723927620738e-02  7.8349404715939386e-01  9.1714832125299496e-03  7.2313104526022420e-01
   7  4.2804640373734770e-02  7.2722204589334838e-01  2.1592332207470491e-02  6.3566608545288916e-01
   9  8.3959702346140558e-02  7.1112640171312369e-01  4.1848499241601549e-02  5.2786294325104466e-01
  11  1.2648380508270976e-01  7.2014066742331018e-01  6.8998325205393618e-02  4.2673068783815316e-01
  13  1.5780494796074801e-01  7.2668922883675502e-01  1.0455918610466203e-01  3.4312127849621976e-01
  15  1.7403091106107635e-01  7.0880803972178019e-01  1.4167595127155180e-01  2.8465803223047659e-01
  17  1.8396702984053540e-01  6.6218056856840923e-01  1.7436240178668802e-01  2.3989816994928193e-01
  19  2.0371657975838312e-01  5.9950064523526958e-01  1.9721460449196723e-01  2.0172280669997605e-01
  21  2.4519111692704401e-01  5.3954522326422794e-01  2.1585879502813485e-01  1.7729732067676876e-01
  23  3.0676158909958029e-01  4.9465108166130828e-01  2.2464696534300499e-01  1.6628257716714218e-01
  25  3.7313790039828376e-01  4.6496280507674415e-01  2.2128082234219307e-01  1.6563199968091508e-01
  27  4.2502956493256905e-01  4.4188302325124318e-01  2.1094528838154872e-01  1.6498584120775711e-01
  29  4.5197162673559854e-01  4.1645696681546962e-01  2.0345133041462030e-01  1.6965656428644024e-01
  31  4.5922714941894549e-01  3.8579281664389886e-01  1.9615153538361715e-01  1.7886134258510192e-01
  33  4.6380268244139705e-01  3.5337838025022172e-01  1.8784720373549768e-01  1.9055724262953591e-01
  35  4.8236765407004245e-01  3.2450835378165477e-01  1.8350587468869872e-01  1.9538590269575981e-01
  37  5.1960802972492603e-01  3.0158278795744681e-01  1.8470168248073404e-01  1.9808893666098321e-01
  39  5.6512605087436307e-01  2.8326806792548259e-01  1.8947533680593018e-01  1.9975158201639126e-01
  41  6.0081039155760108e-01  2.6756864998884922e-01  1.9303905450526165e-01  1.9935347807570664e-01
  43  6.1320949445008643e-01  2.5531673101523172e-01  2.0074082753597006e-01  1.9591042237603989e-01
  45  6.0216514097063856e-01  2.5040950092022030e-01  2.0878913794312093e-01  1.8932342083489884e-01
  47  5.7998736933768247e-01  2.5628475458221101e-01  2.1856319496778301e-01  1.8102780274111838e-01
  49  5.6234479638798440e-01  2.7177236259923698e-01  2.2327951087054551e-01  1.7416776291299013e-01
  51  5.5770809763249118e-01  2.9037027627484424e-01  2.2655243666777489e-01  1.7144759022001591e-01
  53  5.6267008846901523e-01  3.0428369037182296e-01  2.2228049546160533e-01  1.6737602636767754e-01
  55  5.6577479442249390e-01  3.1043106877359239e-01  2.1735353943788871e-01  1.6704664286329404e-01
  57  5.5634060949230491e-01  3.1354332090995929e-01  2.0638291732868455e-01  1.7149660716276768e-01
  59  5.3165866685356422e-01  3.2336183129531060e-01  1.9314885359581419e-01  1.8008014192506536e-01
  61  4.9783451332996298e-01  3.4747787080751136e-01  1.7895163711142614e-01  1.8685010373781619e-01
  63  4.6458220446386383e-01  3.8500803515624471e-01  1.6845206843511046e-01  1.9626388568645209e-01
  65  4.3850470835302735e-01  4.2607277629958046e-01  1.5602153359578860e-01  2.0534349197100835e-01
  67  4.1981310859484616e-01  4.5790707990147539e-01  1.4429952241379143e-01  2.1204102841836411e-01
  69  4.0418060287867985e-01  4.7343434357012010e-01  1.3782619479463928e-01  2.1245953017961697e-01
  71  3.8736703394148841e-01  4.7609982338224865e-01  1.3575989621901102e-01  2.0832071205359634e-01
  73  3.6856430253947942e-01  4.7733148234772449e-01  1.3746392074259986e-01  1.9992474078909980e-01
  75  3.5011542571009047e-01  4.8833265362218115e-01  1.4060956178659581e-01  1.8955033073653493e-01
  77  3.3460110519519071e-01  5.1205432638638959e-01  1.4785172363716972e-01  1.7751694544512828e-01
  79  3.2237572205508180e-01  5.4106156828960028e-01  1.5738826159486888e-01  1.6470752483955700e-01
  81  3.1185056356526963e-01  5.6271394868392755e-01  1.7128402521924752e-01  1.5300543501775615e-01
  83  3.0205703661767164e-01  5.6782707714950897e-01  1.8369722191921267e-01  1.4469087973635894e-01
