  Particle         ID     Status                         E                        px                        py                        pz                         m          Charge    Visible
        39       -211         83    3.6208245622351254e-01    1.1975106779155321e-01   -3.0933710295541683e-01   -3.9926917020783818e-02    1.3957000000000000e-01              -1          1
        41        211         83    3.1275317655203067e-01   -1.7853403289760605e-01    1.4884058542320880e-01    1.5590652254340961e-01    1.3957000000000000e-01               1          1
        42       -211         83    2.1575658465540486e+00   -1.0544227500529824e+00    1.7667566596614552e+00    6.3432969899656899e-01    1.3957000000000000e-01              -1          1
        43       2212         84    2.2602377014851971e+01   -1.1428778751047645e+01    1.4051816308353230e+01    1.3487645117829453e+01    9.3827000000000005e-01               1          1
        44      -2212         84    1.8849464081092155e+01   -1.0065203785913418e+01    1.1886138457120031e+01    1.0575127936705531e+01    9.3827000000000005e-01              -1          1
        53       -211         83    5.7269188761909993e+00    4.0597494905261149e+00    3.9056667734847061e-02   -4.0367101308430824e+00    1.3957000000000000e-01              -1          1
        54        211         83    1.1584239134140788e+01    8.8382057025196747e+00   -1.3145747144054440e+00   -7.3711009905070100e+00    1.3957000000000000e-01               1          1
        55       -211         83    5.7331536729500607e+00    4.2668535192026864e+00   -5.0701385639674179e-01   -3.7929499400664537e+00    1.3957000000000000e-01              -1          1
        56        321         84    9.1604349462611201e-01    2.2279455090063183e-03    1.5284915696991974e-02   -7.7147725128986477e-01    4.9368000000000001e-01               1          1
        60        211         84    2.9155104671255982e-01   -1.5671703250022656e-01    2.0118877401776453e-01   -2.2024460782072153e-02    1.3957000000000000e-01               1          1
        61       -211         84    1.3464440741743038e+00    3.1462290114606284e-01   -8.6928130103578716e-01   -9.6891398468752743e-01    1.3957000000000000e-01              -1          1
        62        211         84    1.2461431031887795e+00   -1.5033509500546366e-01   -2.9186399222497794e-01   -1.1939881146716484e+00    1.3957000000000000e-01               1          1
        63       -211         84    1.4100520598918178e+00   -1.0580113419797077e+00   -6.4211274169797838e-01    6.6111289043291355e-01    1.3957000000000000e-01              -1          1
        64        211         84    1.4061165043392416e+00   -6.5835826424588839e-01   -8.6415147540834980e-01    8.8175419609090677e-01    1.3957000000000000e-01               1          1
        68       -211         91    3.9306064307135780e-01    3.5176792125809092e-01    9.1955406185664251e-02   -5.3107599066991487e-02    1.3957000000000000e-01              -1          1
        70        211         91    1.5202882436030793e+00   -1.2471753486806305e+00   -5.0679643853744585e-02   -8.5661063621691114e-01    1.3957000000000000e-01               1          1
        72        211         91    1.0879861283870025e+00   -6.6125143381429052e-01    7.8325576989727641e-01   -3.3688420987589845e-01    1.3957000000000000e-01               1          1
        73       -211         91    1.9270376322071996e+00   -9.9328860022907106e-01    1.4645139151686979e+00    7.5004733182310135e-01    1.3957000000000000e-01              -1          1
        74        211         91    1.6106741590464054e+01    1.1989020918152294e+01   -1.4981077116048942e+00   -1.0650196974029219e+01    1.3957000000000000e-01               1          1
        76       -321         91    8.4869992681203443e-01    9.7988276080427372e-03   -3.2033812042862686e-01   -6.1144018100588993e-01    4.9368000000000001e-01              -1          1
        77        211         91    1.6605832144904775e+00    5.1627949566219733e-01   -8.0089481226554282e-01   -1.3528044239255190e+00    1.3957000000000000e-01               1          1
        78       -211         91    5.7628862742900322e-01    2.6410511518240459e-01   -8.8516441290198977e-03   -4.9274631782967843e-01    1.3957000000000000e-01              -1          1
        80        211         91    5.4486918826712938e-01   -2.2772860748678200e-01   -1.5883597884471301e-02    4.7464727964379627e-01    1.3957000000000000e-01               1          1
        81       -211         91    6.3592293987346149e-01   -3.6503847258147071e-01   -4.7844021125081637e-01    1.5086443699880753e-01    1.3957000000000000e-01              -1          1
        82        211         91    5.0047361242695942e-01   -2.0373788417892050e-01   -2.0177629921106169e-01    3.8570876508406615e-01    1.3957000000000000e-01               1          1
        83       -211         91    4.3167433734444011e-01   -1.5355053513591212e-02   -3.6421351030904303e-01    1.8432495724052345e-01    1.3957000000000000e-01              -1          1
        85        211         91    8.9788971777626525e-01   -5.0389296142871953e-01    4.8270354254791037e-01    5.4755395517029537e-01    1.3957000000000000e-01               1          1
        86       -211         91    2.1265344347021864e-01   -1.6035593252435248e-01   -4.0313197043856386e-04    5.2454273992872669e-03    1.3957000000000000e-01              -1          1
        91        211         91    3.2168133402894665e+00   -1.4634974201486499e+00    2.1643054287108558e+00    1.8714608181405343e+00    1.3957000000000000e-01               1          1
        92       -211         91    1.8200132371587483e+01   -9.5374230795838812e+00    1.1284424630785862e+01    1.0626601541016793e+01    1.3957000000000000e-01              -1          1
        93         22         91    2.4532035984402252e+00    1.8049812306557078e+00   -2.3771943775549362e-01   -1.6443053613285730e+00    0.0000000000000000e+00               0          1
        94         22         91    2.1203533080342902e+00    1.6409219021175081e+00   -1.6985815589564640e-01   -1.3320741979780053e+00    0.0000000000000000e+00               0          1
        95         22         91    7.9469850024629876e-02    5.1757251899346469e-02   -5.9850407923884408e-02    7.3873276703685237e-03    0.0000000000000000e+00               0          1
        96         22         91    3.2775552170733585e-01    2.8861626758430148e-01   -5.1485466753488793e-02   -1.4653865977458022e-01    0.0000000000000000e+00               0          1
        97        211         91    4.2828049657459335e+00   -1.9706762112610312e+00   -3.4093250659010343e+00    1.6780573455954326e+00    1.3957000000000000e-01               1          1
        98       -211         91    8.6504027340515215e+00   -4.3436240290849577e+00   -6.6603323745811682e+00    3.4033646043948593e+00    1.3957000000000000e-01              -1          1
       100         22         91    1.2285892619018682e+01   -6.5021232194759131e+00   -9.4424067815409174e+00    4.4166169470217840e+00    0.0000000000000000e+00               0          1
       101         11         91    6.4684115536007991e-01   -3.2318581725047374e-01   -4.8450004146800341e-01    2.8144956296325946e-01    5.1099999999999995e-04              -1          1
       102        -11         91    2.9141295281347421e+00   -1.4928837230695760e+00   -2.1574785859951113e+00    1.2683591707368527e+00    5.1099999999999995e-04               1          1
       103         22         91    2.5032165671901030e-02   -2.1270904276520106e-02    7.2227744186326159e-03    1.1044884751873468e-02    0.0000000000000000e+00               0          1
       104         22         91    1.2990470313123736e+00   -1.1500807164675100e+00   -5.4483064197679187e-01    2.6076254856521713e-01    0.0000000000000000e+00               0          1
       105         22         91    9.3597308122217268e-02    6.8056520943229587e-02    4.6463261585899571e-02    4.4383908881815676e-02    0.0000000000000000e+00               0          1
       106         22         91    1.6474062924241520e-01    2.3075272730448661e-02    1.5382740338808107e-01   -5.4259899359314495e-02    0.0000000000000000e+00               0          1
       107         22         91    4.0361715110416503e+00    3.0755234459447647e+00   -2.7667789666018711e-01   -2.5990931767614613e+00    0.0000000000000000e+00               0          1
